Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Jermaine Krueger,10.2,0.3,0.0,1.1,13.8,8.0,19.2,Assassin
Ubaid Travis,12.1,9.9,18.0,11.7,15.4,6.6,2.8,Accountant
Kieron Bauer,11.0,5.5,2.5,11.1,7.6,4.8,3.4,Advisor
Antoine Jacobson,18.3,11.8,7.2,10.3,10.2,4.3,19.9,Recruiter
Jokubas Christie,3.1,12.0,15.7,14.8,1.4,17.8,1.9,Enforcer
Alya Leal,8.3,17.2,17.8,9.7,13.3,6.7,8.6,Accountant
Braxton Woodward,10.9,9.1,19.1,18.6,5.0,15.8,8.3,Enforcer
Wesley Acosta,7.6,0.3,9.2,3.0,2.3,0.3,13.2,Assassin
Damon Mcdonnell,16.5,4.2,3.2,8.7,8.4,16.2,0.4,Assassin
Liberty Sims,12.4,19.4,2.1,15.0,10.2,18.6,7.7,Advisor
Jodi Wicks,19.5,18.6,8.8,19.6,17.1,0.2,11.6,Advisor
Kamila Mcnally,10.5,4.8,8.0,18.5,15.2,16.8,16.9,Priest
Tadhg Quintana,3.0,18.2,16.7,1.8,9.5,6.2,13.2,Enforcer
Konnor Tillman,14.3,8.5,10.3,8.5,3.3,7.5,10.4,Assassin
Tyson Mackay,6.3,1.8,3.1,19.8,0.9,7.5,20.0,Priest
Lydia Rivas,3.3,9.8,14.8,3.9,6.1,17.5,14.1,Enforcer
Tudor Bowden,18.4,7.1,14.6,12.6,11.8,11.1,6.2,Assassin
Karolina Saunders,16.1,18.1,19.0,2.4,3.9,13.4,4.5,Enforcer
Alannah Webb,14.5,10.4,13.8,6.5,16.0,6.1,13.6,Assassin
Roshan Dunne,4.5,9.3,17.0,17.5,6.2,12.4,12.4,Priest
Amelia-Grace Ryder,15.0,4.7,16.6,10.4,7.0,13.2,2.2,Assassin
Marvin Graves,2.0,15.1,12.5,1.6,16.4,15.9,12.5,Enforcer
Becky Robbins,0.9,17.3,4.3,8.0,16.5,8.5,6.2,Advisor
Laiba Mcleod,5.7,14.2,15.9,16.0,5.0,13.5,13.6,Priest
Indigo Wallis,17.4,5.0,5.9,15.8,14.8,6.0,7.8,Accountant
Aviana Wainwright,12.1,0.8,8.2,12.2,3.1,10.7,11.2,Assassin
Marianne Cox,18.2,6.8,16.6,8.3,19.9,11.5,8.4,Accountant
Ignacy Paine,15.8,0.8,5.4,4.5,7.5,10.9,1.6,Assassin
Zackery Wiley,11.5,1.7,4.2,0.4,3.8,1.4,19.6,Assassin
Ilyas Franklin,8.2,17.9,11.8,13.0,15.0,18.8,16.2,Enforcer
Poppy-Rose Hester,9.2,1.3,4.3,1.6,8.8,11.5,7.0,Assassin
Keira Bravo,17.1,19.4,14.7,18.2,14.9,17.5,15.5,Advisor
Ella-Mae Potter,10.2,0.5,12.1,1.0,8.4,7.7,10.4,Assassin
Maizie Hodson,8.5,16.7,1.3,18.4,5.5,4.4,2.6,Advisor
Wiktor Rose,17.5,2.1,1.2,17.6,12.4,6.8,13.2,Advisor
Aditya Oneil,16.6,2.9,11.6,15.3,4.7,18.1,5.8,Assassin
Asiyah Whittington,5.8,7.5,6.2,17.5,16.9,12.1,4.9,Accountant
Rares Camacho,11.6,13.3,13.3,10.0,0.0,1.0,12.7,Priest
Mohsin Ali,3.4,5.4,2.2,16.6,14.3,1.2,12.1,Advisor
Kalum Sadler,9.6,1.4,15.6,1.6,1.1,18.0,4.1,Enforcer
Suleman Kearns,3.3,16.4,8.1,6.5,14.1,2.1,10.5,Recruiter
Selena Frank,4.4,14.1,17.8,15.1,12.3,9.4,16.2,Priest
Hamid Ponce,8.4,5.9,17.2,16.1,0.9,3.0,0.8,Accountant
Ayesha Deacon,10.2,6.3,4.3,19.5,14.4,0.4,17.7,Advisor
Nabiha Ortiz,13.0,6.5,19.7,12.6,12.7,11.7,19.0,Assassin
Laibah Kumar,1.3,19.1,0.0,11.2,9.2,8.4,13.5,Recruiter
Karen Lyon,0.8,17.1,13.9,8.9,9.0,0.2,2.2,Recruiter
Logan Vasquez,10.6,16.4,8.8,13.4,12.1,20.0,14.8,Enforcer
Carmel Phan,10.6,9.1,11.4,7.0,1.4,5.5,10.3,Assassin
Graeme Pearson,10.6,10.9,2.6,4.0,0.1,11.6,14.5,Enforcer
Wilson Livingston,8.9,14.8,15.3,16.6,4.6,16.6,3.9,Enforcer
Kameron Regan,11.1,2.3,0.7,10.2,8.9,7.9,9.3,Advisor
Harley Hunt,7.3,0.7,13.2,2.2,10.4,17.6,7.6,Enforcer
Bilaal Blair,9.5,19.2,18.3,1.8,18.4,12.8,5.7,Enforcer
Florence East,6.1,4.3,7.7,12.0,10.9,19.2,1.5,Accountant
Eilidh Sheehan,4.7,11.8,11.5,5.9,12.7,12.3,8.9,Enforcer
Philip Mccormick,12.8,18.5,7.9,10.6,18.0,8.8,10.6,Advisor
Yusra Best,19.4,16.4,3.0,4.9,7.4,0.3,12.1,Recruiter
Aamir Baker,3.6,4.2,15.8,15.3,4.3,3.1,0.0,Accountant
Luka Sears,4.4,7.2,7.7,13.8,4.4,2.1,12.9,Priest
Ivy-Rose Barnes,19.9,16.5,6.3,5.4,10.5,18.7,19.6,Enforcer
Malachy Kenny,2.4,5.7,12.0,8.2,7.2,7.5,16.0,Priest
Shayna Mohamed,1.7,12.5,5.3,16.2,17.8,7.8,13.3,Advisor
Pierre Peralta,8.9,18.5,0.8,0.8,13.1,5.7,9.5,Recruiter
Macie O'Connor,18.9,9.3,4.5,6.6,13.2,7.6,2.9,Accountant
Cecil Avalos,10.1,15.0,8.3,4.1,19.6,10.7,13.4,Recruiter
Shani Edge,6.7,6.4,1.9,1.4,0.2,0.2,0.2,Advisor
Carrie Lancaster,17.2,10.3,6.1,12.8,17.0,11.4,14.0,Advisor
Idris Amos,10.8,2.2,4.0,8.5,17.2,19.1,6.9,Accountant
Tymoteusz Fraser,16.8,19.7,1.1,17.3,5.8,15.6,16.6,Advisor
Fleur Dolan,7.0,7.4,7.1,17.8,16.2,18.3,18.6,Priest
Samiya Daly,11.7,8.4,4.7,13.1,12.4,10.2,6.5,Advisor
Armani Bourne,18.4,1.5,8.6,5.7,4.9,11.3,7.4,Assassin
Cody Leach,18.9,19.3,15.4,16.4,2.1,14.0,4.0,Enforcer
Janet Prentice,0.5,12.0,14.5,6.7,1.7,17.2,2.0,Enforcer
Cydney Conroy,6.2,3.1,0.6,4.3,7.8,7.7,1.4,Accountant
Adelina Dalby,7.7,15.0,15.4,12.7,7.2,16.1,7.0,Enforcer
Inez Davies,15.9,3.3,10.7,17.1,4.6,3.2,4.0,Accountant
Leela Barajas,3.1,4.1,19.7,11.0,13.3,17.8,1.1,Accountant
Sophia Holmes,17.2,5.3,17.1,19.6,14.4,1.1,19.6,Assassin
Kaitlin Caldwell,0.5,15.1,0.1,13.4,5.3,4.8,16.4,Recruiter
Muskaan Gray,4.1,10.6,19.4,3.6,12.1,15.1,0.3,Enforcer
Dan Dean,2.8,16.6,0.3,19.2,17.3,11.3,15.0,Advisor
Affan Benton,4.4,11.6,17.8,19.8,18.1,2.1,12.6,Accountant
Khadijah Vargas,3.7,4.9,0.3,12.1,15.3,3.2,6.8,Advisor
Aria Alvarez,18.9,16.6,14.1,11.9,16.3,0.4,0.3,Accountant
Aneesah Hogan,10.1,2.9,8.1,3.9,13.2,12.2,17.2,Assassin
Mahdi Cooley,18.5,6.9,2.1,9.8,18.9,19.3,3.5,Accountant
Marshall Swift,3.0,0.9,10.1,10.8,10.8,11.9,11.6,Priest
Aliesha Morse,7.9,13.2,4.6,0.1,19.5,8.2,8.2,Recruiter
Jenny Lamb,13.9,14.3,17.9,19.6,1.4,19.7,2.6,Enforcer
Kelise Akhtar,4.3,1.9,16.9,17.3,4.0,10.2,19.0,Priest
Kloe Solomon,10.8,1.0,18.3,14.6,7.1,3.5,12.2,Assassin
Frances Smyth,10.1,13.6,6.6,3.7,2.4,12.9,5.5,Enforcer
Issac Wong,12.2,19.1,16.2,6.8,15.2,1.8,13.4,Recruiter
Oskar England,8.7,19.6,18.9,7.0,15.0,18.1,11.3,Enforcer
Alfie-Lee Rigby,13.1,18.7,0.7,14.9,18.0,14.7,2.6,Advisor
Jaya Wilkes,9.4,9.3,18.5,17.9,19.9,16.6,13.3,Accountant
Fay Yoder,15.0,4.2,10.4,15.5,11.3,1.2,10.7,Accountant
Bentley Wilder,18.2,9.4,11.8,0.0,3.1,2.4,5.9,Assassin
Tyron Witt,15.0,7.2,4.4,12.2,8.5,12.7,0.4,Accountant
Roman Talley,7.6,9.9,12.4,5.7,14.5,10.5,13.1,Enforcer
Donnell Levy,17.2,10.9,3.4,15.8,10.0,3.9,4.3,Advisor
Caroline Dalton,19.9,20.0,10.6,4.0,0.1,4.8,14.9,Recruiter
Frida King,2.6,7.3,15.3,15.9,10.7,16.0,8.2,Enforcer
Krista Bates,4.2,15.8,8.4,5.6,6.6,2.3,8.7,Recruiter
Arran Hartley,11.1,13.8,19.7,10.8,5.1,0.8,15.0,Priest
Connagh Graham,11.8,2.3,13.9,17.3,11.1,1.3,4.2,Accountant
Matias Sparrow,13.5,1.5,15.5,2.5,13.1,14.4,12.4,Assassin
Afsana Andrade,15.4,19.1,14.4,7.8,0.3,5.3,9.3,Enforcer
Suleman Willis,8.0,2.5,2.5,8.7,8.2,10.7,17.9,Priest
Joe Rowe,2.2,19.6,5.0,18.4,6.8,19.8,4.7,Advisor
Umayr Bond,19.0,15.5,5.5,13.8,4.1,14.7,10.2,Advisor
Faraz Anthony,6.8,11.1,5.1,4.1,0.7,9.6,1.9,Enforcer
Tobi Pierce,4.6,15.8,7.6,16.4,1.2,5.1,5.5,Advisor
Boris Avila,6.2,13.9,2.0,0.1,16.9,2.6,17.0,Recruiter
Rahima Andersen,15.9,19.7,15.7,18.6,6.8,16.9,18.3,Enforcer
Miya Pruitt,2.7,2.0,5.2,13.4,3.2,11.6,15.1,Priest
Rayan Gunn,8.1,11.4,12.9,11.2,8.5,18.9,17.8,Enforcer
Casey Ross,1.8,8.6,5.7,1.5,10.1,13.0,14.7,Enforcer
Sayed Black,5.2,8.6,13.4,7.1,12.2,10.5,9.9,Enforcer
Issa Huff,9.4,15.8,9.2,1.6,19.3,10.1,16.2,Recruiter
Kaci Wiley,7.1,16.9,19.9,12.6,6.9,11.1,5.0,Enforcer
Amelia-Grace Myers,10.1,2.0,13.3,16.8,11.9,3.4,16.9,Priest
Shaunna Kirk,7.8,10.3,5.1,19.0,6.8,1.8,7.2,Advisor
Jemima Morrow,17.7,0.0,16.1,7.4,17.4,17.8,16.9,Assassin
Nigel Bruce,14.9,14.4,16.3,13.4,16.4,10.1,19.7,Priest
Efa Shaffer,2.2,16.9,19.1,0.6,17.8,18.2,16.9,Enforcer
Jordi Atkinson,6.4,9.0,6.5,18.9,14.9,12.3,12.2,Advisor
Harper Cordova,14.5,10.4,1.6,16.6,7.5,1.9,10.6,Advisor
Tyler Clemons,12.6,19.5,1.5,16.7,7.6,6.4,10.7,Advisor
Maeve Amos,6.0,7.1,7.8,3.9,13.0,2.8,8.1,Accountant
Marco Herman,10.0,3.7,7.8,4.9,5.4,2.7,14.0,Assassin
Matthew Krause,2.6,11.3,10.4,4.7,2.8,10.1,19.0,Priest
Shea Cabrera,2.8,7.1,15.4,14.2,12.5,12.0,13.3,Priest
Ema Coombes,14.6,9.8,10.5,19.3,0.5,12.8,15.6,Assassin
Amayah Farrow,18.4,17.8,19.7,6.7,17.7,17.2,18.4,Enforcer
Usama Battle,7.4,12.1,14.1,13.5,12.4,10.1,14.5,Priest
Henrietta Beil,8.7,15.9,7.1,18.4,8.9,4.3,8.1,Advisor
Klara Lang,3.4,12.8,1.7,17.9,14.6,1.9,11.0,Advisor
Iolo Halliday,13.7,11.1,4.4,13.7,1.8,7.7,4.7,Advisor
Miguel Cullen,2.9,17.3,3.7,1.5,8.3,3.8,14.9,Recruiter
Ethel Dickinson,3.9,19.7,11.9,1.5,17.2,19.1,11.0,Enforcer
Darsh Dougherty,5.6,1.3,13.7,18.3,6.0,5.3,16.6,Priest
Asiya Juarez,14.3,12.9,10.1,6.3,8.7,3.8,2.0,Accountant
Latoya Hawes,18.9,6.5,8.5,7.0,8.7,8.8,13.4,Assassin
Lynn Hurley,2.7,9.6,13.1,2.8,14.5,16.0,8.6,Enforcer
Avery Noel,12.6,8.8,10.0,1.3,5.8,17.6,19.8,Enforcer
Lily-Rose Ibarra,9.0,17.0,16.4,12.9,9.1,12.4,15.3,Priest
Zaine Rossi,11.9,1.9,1.3,17.6,8.2,13.3,1.3,Advisor
Giovanni Miller,14.4,7.3,5.2,18.3,11.0,14.5,9.9,Advisor
Maegan Sosa,15.6,6.8,17.7,8.1,11.3,2.3,5.4,Accountant
Seren Navarro,11.4,7.1,0.4,15.1,0.3,7.4,17.8,Priest
Brayden Leal,8.9,17.9,3.6,10.8,15.9,9.4,7.5,Advisor
Storm Bannister,5.5,11.6,18.5,7.1,6.2,8.5,11.0,Enforcer
Zayn Cruz,8.3,6.3,10.6,2.0,5.9,12.1,15.8,Enforcer
Mikail Dixon,0.1,19.5,3.7,1.3,0.9,15.8,11.0,Enforcer
Frankie Hess,6.5,8.7,14.7,1.0,11.2,13.7,1.1,Enforcer
Dua Mohammed,13.0,0.1,19.8,13.9,17.5,1.5,2.5,Accountant
Theodora Akhtar,12.5,15.8,17.6,19.6,5.0,4.8,11.0,Priest
Kristian Joyce,14.0,4.3,8.0,0.8,4.7,11.3,2.2,Assassin
Duke Jimenez,11.5,14.1,5.9,12.1,2.6,18.0,19.8,Enforcer
Nawal Bolton,10.7,10.8,9.4,10.2,7.2,12.5,2.1,Enforcer
Lyndsey Barker,10.3,15.2,2.5,12.5,2.7,5.9,1.5,Advisor
Sammy Wilkins,1.6,6.4,3.2,13.6,12.7,13.1,3.1,Advisor
Ignacy Mcfadden,3.8,2.9,4.0,0.5,3.7,10.2,17.4,Enforcer
Sammy-Jo Donovan,13.1,11.0,15.9,0.5,0.5,15.3,14.3,Enforcer
Samia Lozano,18.8,15.5,12.3,13.9,0.7,9.3,1.0,Assassin
Ray Mcclure,15.8,7.0,7.7,18.5,10.8,10.3,13.0,Advisor
Ted Brewer,15.7,10.6,8.2,7.3,12.2,7.2,1.4,Accountant
Suhail Macfarlane,14.1,2.2,19.8,11.4,12.2,19.3,17.5,Assassin
Emer Medina,5.7,17.2,7.7,17.9,11.4,15.5,7.4,Advisor
Leandro Mcfarland,11.9,0.4,8.6,13.6,4.1,3.6,13.5,Assassin
Jonty Flowers,0.0,1.4,2.1,14.6,20.0,13.0,13.7,Priest
Abdi Serrano,5.0,3.8,17.8,13.2,2.5,0.6,1.5,Accountant
Joann Hinton,12.6,17.8,11.0,4.0,11.9,10.3,1.7,Enforcer
Amanah Yates,7.6,14.8,19.4,4.4,5.2,10.8,7.5,Enforcer
Teejay Hays,18.0,11.2,20.0,19.5,7.9,9.2,10.6,Assassin
Wanda Arroyo,19.7,3.5,7.1,2.0,19.9,11.8,7.3,Assassin
Marissa Sharma,4.6,15.2,8.5,2.4,7.3,2.4,19.9,Recruiter
Gabrielle Thompson,19.9,18.3,16.2,19.1,10.4,14.0,18.5,Recruiter
Kieran Kouma,18.9,11.3,7.3,9.9,18.3,17.0,2.6,Accountant
Montgomery Hutchinson,17.7,4.8,0.6,13.9,7.6,2.8,10.4,Advisor
Aadam Gibson,6.3,0.2,12.0,7.1,13.6,10.1,18.9,Assassin
Berat Ramsey,18.2,15.2,10.7,2.5,17.6,7.2,12.1,Recruiter
William Nava,15.1,7.8,9.5,19.9,4.1,18.6,18.7,Assassin
Stefan Healy,19.4,0.2,16.0,16.9,13.6,8.5,18.7,Assassin
Caspar Gray,12.7,0.7,12.1,10.9,16.9,11.6,9.8,Accountant
Darla Rahman,15.6,14.8,19.1,15.0,8.1,15.6,9.7,Enforcer
Mayson O'Gallagher,20.0,19.1,19.2,15.3,17.0,14.0,8.5,Accountant
Cosmo Bowes,11.8,11.7,7.2,3.8,1.8,1.0,13.9,Recruiter
Andrei Merritt,10.5,0.9,10.5,5.8,7.2,15.0,7.6,Assassin
Chandni Workman,11.4,12.9,3.1,11.6,9.9,13.9,15.0,Recruiter
Roshni Johnston,13.8,6.9,4.2,12.1,7.2,3.4,8.1,Advisor
Calvin Corbett,11.7,15.4,11.4,13.9,4.9,13.3,10.0,Enforcer
Tonya Vinson,9.6,7.7,6.2,15.8,0.1,14.1,11.6,Enforcer
Lamar Williamson,16.6,10.9,3.4,4.8,12.9,19.5,11.9,Enforcer
Elaine Beil,18.2,9.3,1.4,9.1,20.0,5.4,0.4,Accountant
Burhan Gardiner,18.0,13.8,2.9,13.7,17.0,6.4,18.0,Recruiter
Ronald Delaney,5.0,17.7,3.5,11.3,14.6,5.7,5.8,Advisor
Kaitlan Bowes,12.0,16.1,11.4,11.3,10.4,18.1,4.5,Enforcer
Tomas Mathis,16.5,2.6,4.0,10.2,6.3,7.9,14.4,Assassin
Shah Robins,10.9,7.4,6.6,14.2,1.5,16.7,13.7,Enforcer
Cristiano Nolan,3.2,9.7,17.7,10.8,8.5,9.9,5.3,Enforcer
Lilliana Moon,4.3,2.7,2.4,2.0,16.8,11.6,13.4,Priest
Rabia Fowler,16.5,4.3,9.3,10.1,9.0,12.0,10.0,Assassin
Prince Dupont,11.5,18.6,19.7,14.2,4.4,4.3,0.4,Accountant
Imaan Chadwick,17.0,7.6,14.0,17.6,9.7,5.7,12.2,Assassin
Troy Golden,11.0,12.9,4.0,8.1,15.9,1.4,8.0,Advisor
Zakariyya Dodson,0.5,0.9,4.7,10.8,17.7,0.2,7.8,Accountant
Clara Legge,9.3,7.5,10.7,17.2,12.1,1.3,17.6,Priest
Summer Turnbull,16.9,5.7,7.0,4.5,19.3,18.2,18.5,Assassin
Nahla Armstrong,13.6,19.5,9.3,9.5,19.7,6.9,6.4,Advisor
Haley Murray,9.9,6.6,5.7,16.7,13.3,2.3,6.3,Accountant
Zoe Farrell,14.4,19.5,5.6,13.9,3.4,14.3,19.0,Recruiter
Torin Gilbert,13.7,12.5,16.4,13.0,17.0,19.4,8.2,Accountant
Jorja Oconnor,13.8,6.2,5.9,7.7,5.8,18.7,9.1,Enforcer
Piper Donovan,5.1,15.6,4.6,18.0,0.5,15.5,6.9,Advisor
Alasdair Tucker,18.1,14.8,10.9,12.3,1.6,11.4,10.8,Assassin
Abbas Meadows,14.7,8.9,19.2,17.5,0.2,2.9,9.2,Assassin
Raisa Chavez,7.8,7.0,10.6,14.7,17.2,6.5,1.0,Accountant
Albie Hinton,2.4,3.8,7.0,19.4,0.2,4.9,3.2,Priest
Phillip Lloyd,3.9,15.5,3.0,1.2,9.5,8.2,9.8,Recruiter
Meg Simon,7.3,14.2,1.9,10.9,5.3,16.2,7.7,Enforcer
Bradleigh Howarth,7.3,10.7,2.3,2.3,2.1,5.4,16.1,Recruiter
Victoria Bruce,15.0,10.2,18.2,15.4,4.3,6.6,11.4,Assassin
Francesco Stephenson,15.8,16.6,13.0,5.6,20.0,1.7,2.5,Accountant
Manal Sanderson,6.1,18.9,1.1,0.1,1.2,15.8,2.3,Enforcer
Conal Rice,3.2,17.4,13.5,8.0,19.6,10.1,10.9,Recruiter
Sylvia Cain,5.2,10.8,19.7,4.0,1.0,7.4,14.9,Enforcer
Ibrar Feeney,0.3,13.1,16.1,16.8,1.6,7.3,17.9,Priest
Leticia Murillo,13.1,2.7,12.2,19.9,9.9,18.8,7.9,Assassin
Huey Moore,14.3,2.2,17.7,15.4,2.6,8.5,11.6,Assassin
Phoenix Kramer,4.7,14.7,15.3,9.8,3.0,10.5,14.4,Enforcer
Cathal Findlay,11.6,11.0,7.9,0.5,12.5,17.6,8.4,Enforcer
Nimra Woodward,2.8,3.4,15.7,14.3,1.1,11.1,8.5,Enforcer
Nannie Woods,12.8,6.1,7.9,19.5,11.9,5.2,3.3,Accountant
Grady Perkins,10.4,0.1,7.0,1.0,18.4,4.5,13.5,Assassin
Ezmae Lamb,17.7,16.1,1.8,14.6,8.1,8.1,1.8,Advisor
Marion Chang,10.7,16.7,18.9,9.9,8.4,2.0,7.4,Accountant
Kathryn Archer,5.3,1.7,16.1,16.3,18.0,1.8,9.4,Accountant
Mateusz Croft,16.8,7.6,6.4,14.5,7.6,6.1,14.2,Assassin
Jayden-Lee Sparrow,10.7,12.9,9.2,5.9,3.1,14.4,11.1,Enforcer
Harriet Rush,15.0,2.4,1.9,7.6,3.2,5.3,11.8,Assassin
Antonia Rivas,1.3,5.6,14.3,4.4,5.1,10.7,8.7,Enforcer
Ishaan Fry,11.9,12.2,17.2,14.0,8.4,4.4,19.5,Priest
Dominik Shields,17.1,2.1,3.8,14.7,4.4,11.4,15.0,Assassin
Linzi Obrien,11.5,11.8,13.4,8.4,0.2,9.6,16.3,Enforcer
Hubert Dickerson,11.7,7.2,8.3,12.2,15.3,4.4,13.8,Accountant
Maizie Haas,10.7,0.1,10.3,8.0,4.0,17.2,1.7,Assassin
Neel Mcdonnell,15.1,14.6,5.4,2.0,12.1,8.1,7.4,Recruiter
Nola Beard,14.0,11.7,16.4,11.7,12.2,19.7,14.7,Enforcer
Romany Mooney,3.5,5.6,3.2,18.3,1.8,6.4,16.9,Priest
Edith Wheatley,13.8,2.6,5.7,17.3,12.0,13.0,12.3,Assassin
Kristie Forster,5.9,18.1,6.2,13.8,1.2,17.2,6.0,Enforcer
Theodore Knight,13.5,5.6,0.3,9.4,19.7,3.8,5.7,Accountant
Kody Curry,8.4,1.4,12.7,0.2,3.6,17.9,1.2,Enforcer
Mahir Blevins,18.9,3.3,0.6,13.4,14.7,8.4,13.9,Advisor
Joseph Brook,5.9,6.9,15.0,4.6,8.5,4.0,12.5,Priest
Katharine Horn,3.8,16.9,14.7,11.2,15.5,15.1,0.9,Accountant
Kelsea Melia,2.2,8.8,1.5,15.6,0.1,1.7,11.7,Priest
Eileen Magana,3.1,16.2,7.2,11.5,13.2,19.7,11.4,Enforcer
Arissa Pollard,12.1,13.1,6.5,19.2,18.5,5.7,8.0,Advisor
Lucca Ibarra,17.0,3.1,2.7,9.8,15.5,14.4,10.6,Assassin
Kaydee Cross,17.0,13.8,7.4,16.3,10.7,13.6,14.5,Advisor
Tasmin Rankin,5.0,10.8,11.9,14.5,0.5,14.1,15.0,Enforcer
Yanis Mccray,3.9,16.4,2.6,17.7,3.1,3.1,14.7,Recruiter
Neha Bauer,0.8,7.6,1.2,16.4,6.3,2.3,1.1,Advisor
Armani Whitehead,10.8,1.4,7.8,17.9,13.8,6.2,15.0,Accountant
Jana Compton,1.1,6.4,15.4,5.8,11.8,14.8,8.7,Enforcer
Trevor Allen,18.6,19.3,3.1,12.7,1.2,13.3,4.9,Advisor
Vicki Kavanagh,19.8,12.3,3.8,18.0,2.5,13.5,4.3,Advisor
Nelson Lewis,9.9,8.4,19.1,9.9,5.2,4.1,1.8,Accountant
Zahara Arias,12.0,6.1,7.1,13.5,6.5,12.5,0.0,Accountant
Annalise Ingram,17.7,6.6,6.6,2.3,5.9,3.6,11.3,Assassin
Huzaifah Marin,12.6,18.4,0.3,19.6,6.3,17.0,0.0,Advisor
Sebastian Cameron,9.1,8.4,3.4,13.2,11.3,5.4,17.0,Recruiter
Reeva Mcghee,6.1,19.9,5.3,12.0,5.7,16.6,11.2,Enforcer
Jay-Jay Rollins,19.4,5.4,10.4,8.2,10.4,5.7,19.2,Assassin
Dawud Millington,6.8,2.9,19.1,0.4,6.4,19.0,15.1,Enforcer
Camille Rivera,11.8,3.9,16.3,4.5,15.9,12.4,9.0,Assassin
Abdirahman Craft,17.5,7.8,11.6,4.0,7.8,13.9,15.7,Assassin
Hattie Ashley,3.5,19.2,16.3,13.3,6.9,11.0,0.9,Enforcer
Gideon Laing,13.9,1.4,2.3,19.0,3.8,14.7,3.2,Advisor
Betty Milner,3.4,15.6,3.9,16.7,0.1,17.1,8.2,Enforcer
Omari Herbert,12.3,8.2,5.7,3.6,8.7,9.4,7.0,Assassin
Alaya Dodd,11.8,15.9,12.4,1.5,16.9,5.8,3.0,Accountant
Reese Flynn,19.0,6.6,17.6,4.7,12.1,16.1,10.7,Assassin
Christian Christian,11.3,6.0,7.4,7.9,18.8,16.9,4.5,Accountant
Clarissa Boyd,10.8,1.7,0.7,3.3,2.1,11.7,9.4,Assassin
Anushka Wood,7.8,11.9,16.7,17.8,18.5,13.3,17.9,Priest
Garry Grainger,7.6,3.9,19.7,14.0,13.8,5.7,16.8,Priest
Nadir Rossi,8.6,14.1,19.9,6.0,0.9,14.5,5.8,Enforcer
Brenda Ward,13.6,14.9,5.3,11.7,7.2,3.6,14.7,Recruiter
Lillia Workman,17.4,19.9,12.4,8.6,6.8,2.4,8.0,Recruiter
Aamir Hansen,1.6,15.4,3.8,17.0,3.6,3.1,5.5,Advisor
Audrey Slater,13.5,10.6,7.9,13.6,9.2,3.1,12.0,Recruiter
Cosmo Crowther,17.3,10.2,14.6,10.0,7.7,11.0,4.1,Assassin
Charlie Finney,4.4,3.2,9.6,12.8,15.8,20.0,10.6,Accountant
Jimi Moran,13.8,6.9,9.6,15.8,19.9,8.7,15.1,Accountant
Yaseen Walls,15.3,0.8,7.6,4.5,9.3,6.5,16.8,Assassin
Renesmee Webber,1.6,7.9,4.2,5.8,2.8,8.4,0.8,Enforcer
Rowena Lacey,18.7,17.4,4.6,10.3,16.8,6.4,14.1,Recruiter
Lester Garza,8.1,19.1,13.7,8.6,1.9,0.4,17.6,Recruiter
Faiza Coombes,6.9,1.8,15.6,19.0,13.9,0.4,19.1,Priest
Safia Williamson,13.0,11.6,11.4,10.9,10.8,14.1,0.2,Accountant
Jago Lowe,2.3,18.5,13.0,15.9,19.4,19.8,15.9,Priest
Dru Beltran,11.7,13.3,13.5,2.4,19.7,16.7,15.4,Enforcer
Arsalan Rowland,8.4,4.9,12.3,18.8,3.0,15.6,19.6,Priest
Euan Flynn,16.0,20.0,0.3,16.7,7.3,10.9,12.9,Advisor
Amayah Cox,13.1,7.4,0.4,9.8,7.7,6.4,14.7,Recruiter
Jonah Arellano,9.1,14.9,13.9,7.3,6.2,11.5,1.7,Enforcer
Aayat Thorpe,3.1,9.7,13.3,14.0,4.8,1.6,3.2,Accountant
Zoey Vickers,13.3,15.5,7.1,8.1,16.2,8.3,0.9,Accountant
Dewey Wu,17.9,4.0,15.5,17.9,9.5,1.3,0.5,Accountant
Claude Andersen,4.0,1.2,14.6,12.5,12.1,12.1,11.5,Accountant
Storm Rosario,15.0,13.3,11.2,1.9,9.0,19.6,15.7,Enforcer
Saqlain Swanson,16.0,7.4,0.7,5.2,4.2,15.3,20.0,Assassin
Hammad Kaur,10.6,13.5,1.9,4.7,16.6,18.6,5.2,Advisor
Daisie Cooke,0.6,6.4,12.8,7.3,11.1,3.4,3.1,Accountant
Raveena Haley,12.7,15.4,16.2,9.9,15.6,15.8,18.7,Enforcer
Shoaib Redman,15.2,9.9,15.8,13.4,15.6,4.9,11.2,Accountant
Shyla Hays,3.3,9.8,15.0,10.0,15.0,15.0,13.4,Enforcer
Vanesa Donovan,14.6,8.5,14.2,6.8,13.5,6.8,19.3,Assassin
Donte Swan,0.5,1.1,1.2,4.9,5.7,3.8,15.2,Priest
Warren Clay,0.3,1.3,4.1,16.5,20.0,7.7,14.0,Priest
Pia Maldonado,11.2,14.6,12.1,8.4,5.0,19.5,18.3,Enforcer
Archer Ventura,12.6,16.2,19.4,1.5,5.2,10.9,10.4,Enforcer
Shazia Hahn,3.0,15.6,7.3,5.3,10.0,1.7,13.9,Recruiter
Johnathan Hill,18.1,8.1,9.6,11.7,15.2,13.6,1.6,Accountant
Aleah Roach,7.6,19.5,3.4,18.7,1.5,5.6,8.6,Advisor
